Date	Série_lissée	Série_non_lissée
2014-01-12	-10.943	 
2014-02-04	-11.13	 
2014-03-01	-11.23	 
2014-03-27	-11.31	 
2014-04-22	-11.424	 
2014-05-19	-11.691	 
2014-06-13	-12.129	 
2014-07-04	-12.349	 
2014-07-30	-12.479	 
2014-08-26	-12.46	 
2014-09-20	-12.192	 
2014-10-16	-11.68	 
2014-11-09	-11.192	 
2014-12-06	-11.021	 
2015-01-03	-11.266	 
2015-01-26	-11.753	 
2015-02-18	-12.199	 
2015-03-03	-12.721	 
2015-03-25	-12.974	 
2015-04-22	-13.124	 
2015-05-20	-13.01	 
2015-06-11	-12.445	 
2015-06-30	-11.694	 
2015-07-17	-11.056	 
2015-08-04	-10.413	 
2015-08-24	-9.772	 
2015-09-14	-9.159	 
2015-10-08	-8.544	 
2015-10-31	-7.887	 
2015-11-20	-7.169	 
2015-12-08	-6.507	 
2015-12-26	-5.856	 
2016-01-13	-5.207	 
2016-02-01	-4.55	 
2016-02-25	-4.042	 
2016-03-22	-3.542	 
2016-04-17	-3.282	 
2016-05-13	-3.047	 
2016-06-08	-2.886	 
2016-07-04	-2.834	 
2016-07-30	-2.949	 
2016-08-25	-3.241	 
2016-09-18	-3.609	 
2016-10-16	-3.798	 
2016-11-11	-3.768	 
2016-12-08	-3.551	 
2017-01-02	-3.096	 
2017-01-28	-2.59	 
2017-02-21	-2.118	 
2017-03-21	-1.833	 
2017-04-16	-1.844	 
2017-05-13	-2.212	 
2017-06-03	-2.613	 
2017-06-28	-2.927	 
2017-07-20	-3.213	 
2017-08-16	-3.286	 
2017-09-12	-3.151	 
2017-10-07	-2.648	 
2017-11-01	-2.03	 
2017-11-23	-1.322	 
2017-12-12	-0.637	 
2017-12-31	0.03	 
2018-01-19	0.666	 
2018-02-07	1.307	 
2018-02-28	1.953	 
2018-03-24	2.426	 
2018-04-19	2.906	 
2018-05-15	3.073	 
2018-06-10	3.072	 
2018-07-06	3.027	 
2018-08-01	3.099	 
2018-08-27	3.31	 
2018-09-03	 	1.244
2018-09-22	3.695	 
2018-10-02	 	3.627
2018-11-02	 	5.803
2018-10-19	3.926	 
2018-11-12	4.299	 
2018-12-01	 	6.736
2018-12-07	4.771	 
2019-01-02	 	4.611
2019-01-03	4.978	 
2019-01-29	4.902	 
2019-02-02	 	1.865
2019-02-25	4.644	 
2019-03-03	 	5.492
2019-03-20	4.255	 
2019-04-04	 	5.233
2019-04-10	3.841	 
2019-05-01	3.504	 
2019-06-03	 	4.041
2019-06-03	 	4.041
2019-07-02	 	2.073
2019-08-03	 	2.539
2019-09-01	 	2.228
